Feat0,Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Feat8,Feat9,Feat10,Feat11,Feat12,target
12.510,1.240,2.250,17.500,85,2.000,0.580,0.600,1.250,5.450,0.750,1.510,650,3
12.640,1.360,2.020,16.800,100,2.020,1.410,0.530,0.620,5.750,0.980,1.590,450,2
12.220,1.290,1.940,19.000,92,2.360,2.040,0.390,2.080,2.700,0.860,3.020,312,2
12.200,3.030,2.320,19.000,96,1.250,0.490,0.400,0.730,5.500,0.660,1.830,510,3
11.640,2.060,2.460,21.600,84,1.950,1.690,0.480,1.350,2.800,1.000,2.750,680,2
14.190,1.590,2.480,16.500,108,3.300,3.930,0.320,1.860,8.700,1.230,2.820,1680,1
13.050,2.050,3.220,25.000,124,2.630,2.680,0.470,1.920,3.580,1.130,3.200,830,1
12.600,1.340,1.900,18.500,88,1.450,1.360,0.290,1.350,2.450,1.040,2.770,562,2
12.600,2.460,2.200,18.500,94,1.620,0.660,0.630,0.940,7.100,0.730,1.580,695,3
12.930,3.800,2.650,18.600,102,2.410,2.410,0.250,1.980,4.500,1.030,3.520,770,1
13.050,3.860,2.320,22.500,85,1.650,1.590,0.610,1.620,4.800,0.840,2.010,515,2
13.750,1.730,2.410,16.000,89,2.600,2.760,0.290,1.810,5.600,1.150,2.900,1320,1
12.370,1.210,2.560,18.100,98,2.420,2.650,0.370,2.080,4.600,1.190,2.300,678,2
13.860,1.510,2.670,25.000,86,2.950,2.860,0.210,1.870,3.380,1.360,3.160,410,2
13.270,4.280,2.260,20.000,120,1.590,0.690,0.430,1.350,10.200,0.590,1.560,835,3
11.960,1.090,2.300,21.000,101,3.380,2.140,0.130,1.650,3.210,0.990,3.130,886,2
14.060,2.150,2.610,17.600,121,2.600,2.510,0.310,1.250,5.050,1.060,3.580,1295,1
13.360,2.560,2.350,20.000,89,1.400,0.500,0.370,0.640,5.600,0.700,2.470,780,3
12.690,1.530,2.260,20.700,80,1.380,1.460,0.580,1.620,3.050,0.960,2.060,495,2
12.720,1.750,2.280,22.500,84,1.380,1.760,0.480,1.630,3.300,0.880,2.420,488,2
12.870,4.610,2.480,21.500,86,1.700,0.650,0.470,0.860,7.650,0.540,1.860,625,3
14.380,3.590,2.280,16.000,102,3.250,3.170,0.270,2.190,4.900,1.040,3.440,1065,1
13.640,3.100,2.560,15.200,116,2.700,3.030,0.170,1.660,5.100,0.960,3.360,845,1
13.110,1.900,2.750,25.500,116,2.200,1.280,0.260,1.560,7.100,0.610,1.330,425,3
13.070,1.500,2.100,15.500,98,2.400,2.640,0.280,1.370,3.700,1.180,2.690,1020,1
12.880,2.990,2.400,20.000,104,1.300,1.220,0.240,0.830,5.400,0.740,1.420,530,3
13.240,3.980,2.290,17.500,103,2.640,2.630,0.320,1.660,4.360,0.820,3.000,680,1
12.840,2.960,2.610,24.000,101,2.320,0.600,0.530,0.810,4.920,0.890,2.150,590,3
12.080,1.390,2.500,22.500,84,2.560,2.290,0.430,1.040,2.900,0.930,3.190,385,2
11.870,4.310,2.390,21.000,82,2.860,3.030,0.210,2.910,2.800,0.750,3.640,380,2
11.820,1.470,1.990,20.800,86,1.980,1.600,0.300,1.530,1.950,0.950,3.330,495,2
11.650,1.670,2.620,26.000,88,1.920,1.610,0.400,1.340,2.600,1.360,3.210,562,2
14.390,1.870,2.450,14.600,96,2.500,2.520,0.300,1.980,5.250,1.020,3.580,1290,1
12.810,2.310,2.400,24.000,98,1.150,1.090,0.270,0.830,5.700,0.660,1.360,560,3
13.580,1.660,2.360,19.100,106,2.860,3.190,0.220,1.950,6.900,1.090,2.880,1515,1
11.450,2.400,2.420,20.000,96,2.900,2.790,0.320,1.830,3.250,0.800,3.390,625,2
12.330,0.990,1.950,14.800,136,1.900,1.850,0.350,2.760,3.400,1.060,2.310,750,2
12.250,4.720,2.540,21.000,89,1.380,0.470,0.530,0.800,3.850,0.750,1.270,720,3
12.370,1.170,1.920,19.600,78,2.110,2.000,0.270,1.040,4.680,1.120,3.480,510,2
12.860,1.350,2.320,18.000,122,1.510,1.250,0.210,0.940,4.100,0.760,1.290,630,3
12.430,1.530,2.290,21.500,86,2.740,3.150,0.390,1.770,3.940,0.690,2.840,352,2
13.050,1.730,2.040,12.400,92,2.720,3.270,0.170,2.910,7.200,1.120,2.910,1150,1
12.160,1.610,2.310,22.800,90,1.780,1.690,0.430,1.560,2.450,1.330,2.260,495,2
13.710,1.860,2.360,16.600,101,2.610,2.880,0.270,1.690,3.800,1.110,4.000,1035,1
13.160,3.570,2.150,21.000,102,1.500,0.550,0.430,1.300,4.000,0.600,1.680,830,3
13.690,3.260,2.540,20.000,107,1.830,0.560,0.500,0.800,5.880,0.960,1.820,680,3
12.070,2.160,2.170,21.000,85,2.600,2.650,0.370,1.350,2.760,0.860,3.280,378,2
11.840,2.890,2.230,18.000,112,1.720,1.320,0.430,0.950,2.650,0.960,2.520,500,2
13.730,1.500,2.700,22.500,101,3.000,3.250,0.290,2.380,5.700,1.190,2.710,1285,1
12.720,1.810,2.200,18.800,86,2.200,2.530,0.260,1.770,3.900,1.160,3.140,714,2
13.900,1.680,2.120,16.000,101,3.100,3.390,0.210,2.140,6.100,0.910,3.330,985,1
13.200,1.780,2.140,11.200,100,2.650,2.760,0.260,1.280,4.380,1.050,3.400,1050,1
